category,date,model,paper,author,organization,paper_url,publication,project,jupyter_note,summary,detail
Acceleration,2024/3/18,SD3-Turbo,High-Resolution Image Synthesis with Latent Adversarial Diffusion Distillation,"Axel Sauer, Frederic Boesel, Tim Dockhorn, Andreas Blattmann, Patrick Esser, Robin Rombach",Stability AI,https://arxiv.org/pdf/2502.16965,SIGGRAPH Asia 2024,,,Perform distillation of diffusion models in <b>latent space</b> using <b>teacher-synthetic data</b> and optimizing only an adversarial loss with the <b>teacher as the discriminator</b>.,"<table>
    <tr colspan=""2"">
        <td>
            <figure>
                <img src='figs/2024-03-18-SD3-Turbo-fig1.png' width=600>
                <figcaption><b>ADD:</b> (1) An adversarial loss for deceiving a discriminator (DINO v2); (2) A distillation loss for matching denoised output to that of a teacher. <br><b>LADD:</b> (1) Use teacher generated images instead of real images for distillation; (2) Use teacher as the discrinimator. <br><b>Advantages:</b> (1) Save memory and improve efficiency; (2) Diffusion model teacher as the discriminator provides noise-level feedback; (3) Diffusion model as the discriminator handles multi-aspect ratio; (4) Diffusion model as the discriminator aligns with human perception on shape.</figcaption>
            </figure>
        </td>
    </tr>
    <tr colspan=""2"">
        <td>
            <figure>
                <img src='figs/2024-03-18-SD3-Turbo-fig2.png' width=700>
                <figcaption>(1) Training with <b>synthetic data works better than real data</b>. (2) Training on synthetic data <b>only needs the adversarial loss</b>.</figcaption>
            </figure>
        </td>
    </tr>
    <tr colspan=""2"">
        <td>
            <figure>
                <img src='figs/2024-03-18-SD3-Turbo-fig3.png' width=700>
                <figcaption>(1) Training using <b>LADD performs better than LCM</b>. (2) LCM may need larger models like SDXL-LCM, instand of SD1.5-LCM.</figcaption>
            </figure>
        </td>
    </tr>
    <tr colspan=""2"">
        <td>
            <figure>
                <img src='figs/2024-03-18-SD3-Turbo-fig4.png' width=700>
                <figcaption><b>Student model size</b> significant impacts performance, while the benefits of teacher models and data quality plateau.</figcaption>
            </figure>
        </td>
    </tr>
    <tr colspan=""2"">
        <td>
            <figure>
                <img src='figs/2024-03-18-SD3-Turbo-fig5.png' width=700>
                <figcaption>Use <b>LoRA for DPO-traning</b>, and <b>apply DPO-LoRA after LADD training</b>.</figcaption>
            </figure>
        </td>
    </tr>
</table>"
"Fine-Tuning, Evaluation",2024/3/8,DPG-Bench<br>ELLA,ELLA: Equip Diffusion Models with LLM for Enhanced Semantic Alignment,"Xiwei Hu, Rui Wang, Yixiao Fang, Bin Fu, Pei Cheng, Gang Yu",Tencent,https://arxiv.org/pdf/2403.05135,arXiv 2024,https://github.com/TencentQQGYLab/ELLA/,,ELLA: Replace CLIP with <b>LLM</b> to understand dense prompts; DPG-Bench: evaluate <u>image generation</u> on <b>dense prompts</b>.,"<table>
    <tr>
        <td>
            <figure>
                <img src='figs/2024-03-08-DPG-Bench-fig1.png' width=800>
            </figure>
        </td>
    </tr>
</table>"
Reinforcement Learning,2023/12/19,InstructVideo,InstructVideo: Instructing Video Diffusion Models with Human Feedback,"Hangjie Yuan, Shiwei Zhang, Xiang Wang, Yujie Wei, Tao Feng, Yining Pan, Yingya Zhang, Ziwei Liu, Samuel Albanie, Dong Ni","Zhejiang University, Alibaba Group, Tsinghua University, Singapore University of Technology and Design, Nanyang Technological University, University of Cambridge",https://arxiv.org/pdf/2312.12490,CVPR 2024,https://github.com/ali-vilab/VGen/,,Use HPS v2 to provide reward and train <u>video generation</u> models in an editing manner.,"<table>
    <tr>
        <td>
            <figure>
                <img src='figs/2023-12-19-InstructVideo-fig1.png' width=700>
                <figcaption>It takes reward fine-tuning as an <b>editing task</b> to accelerate training. The reward model is HPS v2. TAR assigns larger weight to central frames.</figcaption>
            </figure>
        </td>
    </tr>
</table>"
Evaluation,2023/11/29,Vbench,VBench: Comprehensive Benchmark Suite for Video Generative Models,"Ziqi Huang, Yinan He, Jiashuo Yu, Fan Zhang, Chenyang Si, Yuming Jiang, Yuanhan Zhang, Tianxing Wu, Qingyang Jin, Nattapol Chanpaisit, Yaohui Wang, Xinyuan Chen, Limin Wang, Dahua Lin, Yu Qiao, Ziwei Liu","Nanyang Technological University, Shanghai Artificial Intelligence Laboratory, The Chinese University of Hong Kong, Nanjing University",https://arxiv.org/pdf/2311.17982,CVPR 2024,https://github.com/Vchitect/VBench/,,Evaluate <u>video generation</u> from 16 dimensions within the perspectives of video quality and video-prompt consistency.,"<ul>
    <li> <u>Content Categories:</u> <u>animal</u>, <u>architecture</u>, <u>food</u>, <u>human</u>, <u>lifestyle</u>, <u>plant</u>, <u>scenary</u>, <u>vehicles</u>.
    <li> <u>Temporal quality-subject consistency:</u> DINO feature similarity across frames.
    <li> <u>Temporal quality-background consistency:</u> CLIP feature similarity across frames.
    <li> <u>Temporal quality-temporal flickering:</u> mean absolute difference across frames.
    <li> <u>Temporal quality-motion smoothness:</u> use video frame interpolation model to evaluate motion smoothness.
    <li> <u>Temporal quality-dynamic degree:</u> use RAFT to estimate degree of dynamics.
    <li> <u>Frame-wise quality-aesthetic quality:</u> use LAION aesthetic predictor.
    <li> <u>Frame-wise quality-imaging quality:</u> use MUSIQ image quality predictor.
    <li> <u>Semantics-object class:</u> use GRiT to detect classes.
    <li> <u>Semantics-multiple objects:</u> detect success rate of generating all objects.
    <li> <u>Semantics-human action:</u> use UMT to detect specific actions.
    <li> <u>Semantics-color:</u> use GRiT for color captioning.
    <li> <u>Semantics-spatial relationship:</u> use rule-based evaluation.
    <li> <u>Semantics-scene:</u> use Tag2Text for scene captioning.
    <li> <u>Style-appearance style:</u> use CLIP feature similarity.
    <li> <u>Style-temporal style:</u> use ViCLIP to calculate video feature and temporal style description feature similarity.
    <li> <u>Overall consistency:</u> use ViCLIP to evaluate overall semantics and style consistency.
</ul>
<table>
    <tr>
        <td>
            <figure>
                <img src='figs/2023-11-29-vbench-fig1.png' width=900>
                <figcaption>caption1.</figcaption>
            </figure>
        </td>
    </tr>
</table>"
Reinforcement Learning,2023/11/21,Diffusion-DPO,Diffusion Model Alignment Using Direct Preference Optimization,"Bram Wallace, Meihua Dang, Rafael Rafailov, Linqi Zhou, Aaron Lou, Senthil Purushwalkam, Stefano Ermon, Caiming Xiong, Shafiq Joty, Nikhil Naik","Nikhil Naik, Salesforce AI, Stanford University",https://arxiv.org/pdf/2311.12908,CVPR 2024,https://github.com/SalesforceAIResearch/DiffusionDPO/,visual_generative_models-diffusion_dpo.ipynb,Adapt <b>Direct Preference Optimization (DPO)</b> from large language models to diffusion models for <u>image generation</u>.,"<ul>
    <li> Train SD1.5 and SDXL1.0 on Pick-a-Pic training set consisting of 850K pairs from 59K unique prompts.
    <li> Evaluate on Pick-a-Pic validation set, and final evaluation is on Partiprompt and HPS v2.
</ul>"
Evaluation,2023/10/17,GenEval,GenEval: An Object-Focused Framework for Evaluating Text-to-Image Alignment,"Dhruba Ghosh, Hanna Hajishirzi, Ludwig Schmidt","University of Washington, Allen Institute for AI, LAION",https://arxiv.org/pdf/2310.11513,NeurIPS 2023,https://github.com/djghosh13/geneval/,,"An <b>object-focused</b> framework for <u>image generation</u> evaluation by providing scores of single object, two objects, counting, colors, position, attribute binding, and overall.","<table>
    <tr>
        <td>
            <figure>
                <img src='figs/2023-10-17-GenEval-fig1.png' width=700>
                <figcaption>GenEval detects objects using Mask2Former detector and evaluates attributes of them.</figcaption>
            </figure>
        </td>
    </tr>
    <tr>
        <td>
            <figure>
                <img src='figs/2023-10-17-GenEval-fig2.png' width=600>
                <figcaption>Specific <b>evaluation perspectives</b> of GenEval.</figcaption>
            </figure>
        </td>
    </tr>
</table>"
Evaluation,2023/7/12,T2I-CompBench,T2I-CompBench: A Comprehensive Benchmark for Open-world Compositional Text-to-image Generation,"Kaiyi Huang, Kaiyue Sun, Enze Xie, Zhenguo Li, Xihui Liu","The University of Hong Kong, Huawei Noah's Ark Lab",https://arxiv.org/pdf/2307.06350,NeurIPS 2023,https://github.com/Karine-Huang/T2I-CompBench/,visual_generative_models-t2icompbench.ipynb,"Use 6000 prompts to train and evaluate <u>image generation</u> on <b>compositional generation</b>, including attribute binding, object relationship, and complex compositions.","<ul>
    <li> <u>Attribute binding prompts:</u> at least two objects with two attributes from color, shape, texture.
    <li> <u>Object relationship prompts:</u> at least two objects with spatial relationship or non-spatial relationship.
    <li> <u>Complex compositions prompts:</u> more than two objects or more than two sub-categories.
    <li> Introduce Generative mOdel finetuning with Reward-driven Sample selection (GORS) that finetunes LoRA of SD2 with generated images which highly align with the compositional prompts.
</ul>
<table>
    <tr>
        <td>
            <figure>
                <img src='figs/2023-07-12-t2icompbench-fig1.png' width=900>
                <figcaption><li> Use <b>disentangled BLIP-VQA</b> to evaluate attribute binding, <b>UniDet-based metric</b> to evaluate spatial relationship, <b>CLIPScore</b> to evaluate non-spatial relationship, <b>3-in-1 metric</b> (average score of the three metrics) to evaluate complex compositions.</figcaption>
            </figure>
        </td>
    </tr>
</table>"
Foundation Model & Algorithm,2023/7/4,SDXL,SDXL: Improving Latent Diffusion Models for High-Resolution Image Synthesis,"Dustin Podell, Zion English, Kyle Lacey, Andreas Blattmann, Tim Dockhorn, Jonas Müller, Joe Penna, Robin Rombach",Stability AI,https://arxiv.org/pdf/2307.01952,ICLR 2024,https://github.com/Stability-AI/generative-models/,,"Employ three times <b>larger UNet backbone</b> of SD, use resolution & crop coordinates & bucketing information as <b>resolution condition</b> for training, employ a <b>refinement model</b>.","<table>
    <tr>
        <td>
            <figure>
                <img src='figs/2023-07-04-SDXL-fig1.png' width=600>
                <figcaption><b>Architecture:</b>. <br>(1) SDXL uses <u>different transformer</u> blocks compared to SD.<br>(2) Use <b>two text encoders</b> OpenCLIP VIT-bigG & CLIP ViT-L.<br>(3) The final model has 2.6B parameters with 817M parameters for text encoders.<br>(4) Embeddings of <b>height & width and cropping top & left and bucketing heigh & width</b> are added to timestep embeddings.<br>(5) <u>Improve auto-encoder</u> by employing larger batchsize of 256 and EMA.<br>(6) Use a <b>refiner</b> of SDEdit for refining details. <br>(7) Training: Stage 1: 256 x 256, 600K steps, batchsize 2048. Stage 2: 512 x 512, 200K steps. Stage 3: multi-aspect training. </figcaption>
            </figure>
        </td>
    </tr>
</table>"
Evaluation,2023/6/15,HPS v2,Human Preference Score v2: A Solid Benchmark for Evaluating Human Preferences of Text-to-Image Synthesis,"Xiaoshi Wu, Yiming Hao, Keqiang Sun, Yixiong Chen, Feng Zhu, Rui Zhao, Hongsheng Li","CUHK, SenseTime Research, Shanghai Jiao Tong University, Centre for Perceptual and Interactive Intelligence",https://arxiv.org/pdf/2306.09341,arXiv 2023,https://github.com/tgxs002/HPSv2/,visual_generative_models-hpsv2.ipynb,HPD v2: 798K binary human preference choices on 433K pairs of generated images; HPS v2: use HPD v2 to fine-tune CLIP for <u>image generation</u> evaluation.,"<table>
    <tr>
        <td>
            <figure>
                <img src='figs/2023-06-15-hpsv2-fig1.png' width=900>
                <figcaption>Step 1: Clean prompts from COCO captions and DiffusionDB by ChatGPT; Step 2: Generate images using 9 models; Step 3: Rand and annotate each pair of images; Step 4: Train CLIP and obtain preference model for providing HPS v2 score.</figcaption>
            </figure>
        </td>
    </tr>
</table>"
Evaluation,2023/5/2,PickScore,Pick-a-Pic: An Open Dataset of User Preferences for Text-to-Image Generation,"Yuval Kirstain, Adam Polyak, Uriel Singer, Shahbuland Matiana, Joe Penna, Omer Levy","Tel Aviv University, Stability AI",https://arxiv.org/pdf/2305.01569,NeurIPS 2023,https://github.com/yuvalkirstain/PickScore/,visual_generative_models-pick_score.ipynb,Pick-a-Pic: use a web app to collect user preferences; PickScore: train a CLIP-based model for <u>image generation</u> evaluation.,"<table>
    <tr>
        <td>
            <figure>
                <img src='figs/2023-04-12-imagereward-fig1.png' width=700>
                <figcaption>Step 1: use DiffusionDB prompts to generate images; Step 2: Rate and rank images; Step 3: Train ImageReward using ranking data; Step 4: tune diffusion models using ImageReward; Step 5: provide scores to the generated images.</figcaption>
            </figure>
        </td>
    </tr>
</table>"
Evaluation,2023/4/12,ImageReward,ImageReward: Learning and Evaluating Human Preferences for Text-to-Image Generation,"Jiazheng Xu, Xiao Liu, Yuchen Wu, Yuxuan Tong, Qinkai Li, Ming Ding, Jie Tang, Yuxiao Dong","Tsinghua University, Zhipu AI, Beijing University of Posts and Telecommunications",https://arxiv.org/pdf/2304.05977,NeurIPS 2023,https://github.com/THUDM/ImageReward/,visual_generative_models-image_reward.ipynb,Train BLIP on 137K human preference image pairs for <u>image generation</u> and use it to tune diffusion models by Reward Feedback Learning (ReFL).,
Evaluation,2023/3/25,HPS,Human Preference Score: Better Aligning Text-to-Image Models with Human Preference,"Xiaoshi Wu, Keqiang Sun, Feng Zhu, Rui Zhao, Hongsheng Li","CUHK, SenseTime Research, Shanghai Jiao Tong University, Centre for Perceptual and Interactive Intelligence, Shanghai AI Lab",https://arxiv.org/pdf/2303.14420,ICCV 2023,https://github.com/tgxs002/align_sd/,,Fine-tune CLIP using annotated 98K SD generated images from 25K prompts for <u>image generation</u> evaluation.,"<table>
    <tr>
        <td>
            <figure>
                <img src='figs/2023-03-25-hps-fig1.png' width=900>
                <figcaption>Train human preference classifier: similar to CLIP except for the sample with the highest preference is taken as the positive; append a special token to the prompts of worse images and train SD LoRA; remove the special token during inference.</figcaption>
            </figure>
        </td>
    </tr>
</table>"
Foundation Model & Algorithm,2022/12/19,DiT,Scalable Diffusion Models with Transformers,"William Peebles, Saining Xie","UC Berkeley, New York University",https://arxiv.org/pdf/2212.09748,ICCV 2023,https://github.com/facebookresearch/DiT/,visual_generative_models-dit.ipynb,"Replace U-Net by <b>transformer</b> for scalable <u>image generation</u>, the timestep and prompt are injected by adaLN-Zero structure.","<ul>
    <li> <u>Increase model size</u> and <u>decrease patch size</u> yield considerably improved diffusion models.
    <li> <u>Scale model Gflops</u> is the key to improved performance.
    <li> <u>Larger DiT models</u> are more <u>compute-efficient</u>.
</ul>
<table>
    <tr>
        <td>
            <figure>
                <img src='figs/2022-12-19-DiT-fig1.png' width=800>
                <figcaption>Use <u>adaLN-Zero</u> structure to inject timestep and prompt is better than cross-attention or in-context.</figcaption>
            </figure>
        </td>
    </tr>
</table>"
Reinforcement Learning,2022/12/19,promptist,Optimizing Prompts for Text-to-Image Generation,"Yaru Hao, Zewen Chi, Li Dong, Furu Wei",Microsoft Research,https://arxiv.org/pdf/2212.09611,NeurIPS 2023,https://github.com/microsoft/LMOps/,,Use <b>LLM to refine prompts</b> for <u>preference-aligned image generation</u> by taking relevance and aesthetics as reward.,"<table>
    <tr>
        <td>
            <figure>
                <img src='figs/2022-12-19-promptist-fig1.png' width=600>
                <figcaption>Step 1: fine-tune a language model (LM) to optimize prompts; Step 2: further fine-tune LM with PPO, where aesthetic and relevance are the reward.</figcaption>
            </figure>
        </td>
    </tr>
</table>"
Foundation Model & Algorithm,2022/10/6,Flow Matching,Flow Matching for Generative Modeling,"Yaron Lipman, Ricky T. Q. Chen, Heli Ben-Hamu, Maximilian Nickel, Matt Le","Meta AI (FAIR), Weizmann Institute of Science",https://arxiv.org/pdf/2210.02747,ICLR 2023,https://github.com/facebookresearch/flow_matching/,,A type of generative models built on <b>continuous normalizing flows</b> by learning a time-dependent vector field that transports data from the source distribution to the target distribution.,
Survey & Insight,2022/8/25,Unified Perspective,Understanding Diffusion Models: A Unified Perspective,Calvin Luo,Google Brain,https://arxiv.org/pdf/2412.03603,arXiv 2022,,,"Introduction to <u>VAE</u>, <u>DDPM</u>, <u>score-based generative model</u>, <u>guidance</u> from a <b>unified generative perspective</b>.",
Foundation Model & Algorithm,2022/5/29,CogVideo,CogVideo: Large-scale Pretraining for Text-to-Video Generation via Transformers,"Wenyi Hong, Ming Ding, Wendi Zheng, Xinghan Liu, Jie Tang","Tsinghua University, BAAI",https://arxiv.org/pdf/2205.15868,ICLR 2023,https://github.com/THUDM/CogVideo/,,An <u>open-sourced</u> <u>transformer</u>-based <u>video generation</u> model (9B) that <b>auto-regressively</b> generates frame sequences and then performs auto-regressive frame interpolatation.,"<table>
    <tr>
        <td>
            <figure>
                <img src='figs/2022-05-29-cogvideo-fig1.png' width=500>
                <figcaption>It is trained on CogView2. In stage 1, it generates frames sequentially. In stage 2, it recursively interpolates frames.</figcaption>
            </figure>
        </td>
    </tr>
</table>"
Foundation Model & Algorithm,2021/12/20,LDM,High-Resolution Image Synthesis with Latent Diffusion Models,"Robin Rombach, Andreas Blattmann, Dominik Lorenz, Patrick Esser, Björn Ommer","Heidelberg University, Runway ML",https://arxiv.org/pdf/2112.10752,CVPR 2022,https://github.com/CompVis/latent-diffusion/,,Efficient high-quality <u>image generation</u> by applying diffusion and denoising processes in the <b>VAE latent space</b>.,"<table>
    <tr>
        <td>
            <figure>
                <img src='figs/2021-12-20-ldm-fig1.png' width=400>
                <figcaption>LDM performs the diffusion process in the latent space of VAE.</figcaption>
            </figure>
        </td>
    </tr>
</table>"
Foundation Model & Algorithm,2021/12/8,CFG,Classifier-Free Diffusion Guidance,"Jonathan Ho, Tim Salimans","Google Research, Brain team",https://arxiv.org/pdf/2207.12598,NeurIPS workshop 2021,,visual_generative_models-cfg.ipynb,<u>Image generation</u> with <b>classifier-free condition guidance</b> by jointly training a conditional model and an unconditional model. ,
Evaluation,2021/4/18,CLIPScore,CLIPScore: A Reference-free Evaluation Metric for Image Captioning,"Jack Hessel, Ari Holtzman, Maxwell Forbes, Ronan Le Bras, Yejin Choi","Allen Institute for AI, University of Washington",https://arxiv.org/pdf/2104.08718,EMNLP 2021,https://github.com/tgxs002/align_sd/,visual_generative_models-clipscore.ipynb,A reference-free metric mainly focusing on <b>semantic alignment</b> for <u>image generation</u> evaluation.,"<ul>
    <li> CLIPScore calculates <u>the cosine similarity between a caption and an image, multiplying the result by 2.5</u>.
    <li> CLIPScore is  <u>complementary to common metrics</u> (like BLEU-4, SPICE, and CIDEr).
    <li> ""A photo depicts"" as a prompt to CLIP is sligtly better than the official ""A photo of"".
    <li> CLIPScore is sensitive to adversarially constructed image captions.
    <li> CLIPScore can reconstruct judgments on never-before-seen images.
    <li> Propose a reference-augmented version of CLIPScore, called RefCLIPScore, which is a harmonic mean of CLIPScore and the maximum of cosine similarity between the caption and all the references.
</ul>
<table>
    <tr>
        <td>
            <figure>
                <img src='figs/2021-04-18-clipscore-fig1.png' width=400>
                <figcaption>CLIPScore frees from the shortcomings of n-gram matching that disfavors good captions with new words and favors captions with familiar words.</figcaption>
            </figure>
        </td>
    </tr>
</table>"
Foundation Model & Algorithm,2020/10/6,DDIM,Denoising Diffusion Implicit Models,"Jiaming Song, Chenlin Meng, Stefano Ermon",Stanford University,https://arxiv.org/pdf/2010.02502,ICLR 2021,https://github.com/ermongroup/ddim/,visual_generative_models-ddim.ipynb,"<u>Accelerate sampling</u> of diffusion models by introducing a <b>non-Markovian, deterministic process</b> that achieves high-quality results with fewer steps while <u>preserving training consistency</u>.","<table>
    <tr>
        <td>
            <figure>
                <img src='figs/2020-10-06-ddim-fig1.png' width=600>
                <figcaption>Comparisons between Markovian DDPM (left) and non-Markovian DDIM (right).</figcaption>
            </figure>
        </td>
        <td>
            <figure>
                <img src='figs/2020-10-06-ddim-fig2.png' width=300>
        <figcaption>Accelerate sampling by skipping time steps.</figcaption>
            </figure>
        </td>
    </tr>
</table>"
Foundation Model & Algorithm,2020/6/19,DDPM,Denoising Diffusion Probabilistic Models,"Jonathan Ho, Ajay Jain, Pieter Abbeel",UC Berkeley,https://arxiv.org/pdf/2006.11239,NeurIPS 2020,https://github.com/hojonathanho/diffusion/,visual_generative_models-ddpm.ipynb,Denoising <b>diffusion</b> probabilistic models that iteratively denoises data from random noise for <u>image generation</u>.,"<table>
    <tr>
        <td>
            <figure>
                <img src='figs/2020-06-19-ddpm-fig1.png' width=400>
                <figcaption>Forward and reverse processes of DDPM.</figcaption>
            </figure>
        </td>
        <td>
            <figure>
                <img src='figs/2020-06-19-ddpm-fig2.png' width=500>
        <figcaption>Training and sampling algorithms of DDPM.</figcaption>
            </figure>
        </td>
    </tr>
</table>"
Foundation Model & Algorithm,2019/6/2,VQ-VAE-2,Generating Diverse High-Fidelity Images with VQ-VAE-2,"Ali Razavi, Aaron van den Oord, Oriol Vinyals",DeepMind,https://arxiv.org/pdf/1906.00446,NeurIPS 2019,,,"Introduce <b>hierarchical VQ-VAE</b> and make sampling in the compressed latent space (which is faster than sampling in pixel space), inspired by the idea of lossy compression. ","<table>
    <tr>
        <td>
            <figure>
                <img src='figs/2019-06-02-VQ-VAE-2-fig1.png' width=900>
                <!-- <figcaption>It trains a hierarchical VQ-VAE.</figcaption> -->
            </figure>
        </td>
    </tr>
</table>"
Evaluation,2019/5/4,FVD,FVD: A new Metric for Video Generation,"Thomas Unterthiner, Sjoerd van Steenkiste, Karol Kurach, Raphaël Marinier, Marcin Michalski, Sylvain Gelly","Johannes Kepler University, IDSIA, Google Brain",https://openreview.net/pdf?id=rylgEULtdN,ICLR workshop 2019,,,Extend FID for <u>video generation</u> evaluation by replacing 2D InceptionNet with pre-trained Inflated 3D convnet.,
Foundation Model & Algorithm,2017/11/2,VQ-VAE,Neural Discrete Representation Learning,"Aaron van den Oord, Oriol Vinyals, Koray Kavukcuoglu",DeepMind,https://arxiv.org/pdf/1711.00937,NeurIPS 2017,,,Propose <b>vector quantised variational autoencoder</b> to generate discrete codes while the prior is also learned.,"<ul>
    <li> VQ-VAE is simple to train, does not suffer from large variance, and avoids ""posterior collapse"", while getting similar performance as VAE.</li>
    <li>The decoder optimizes the recontruction loss; the encoder optimizes the reconstruction loss and a matching loss; the embedding optimizes a matching loss.</li>
</ul>
<table>
    <tr>
        <td>
            <figure>
                <img src='figs/2017-11-02-VQ-VAE-fig1.png' width=900>
            </figure>
        </td>
    </tr>
</table>"
Evaluation,2017/6/26,FID,GANs Trained by a Two Time-Scale Update Rule Converge to a Local Nash Equilibrium,"Martin Heusel, Hubert Ramsauer, Thomas Unterthiner, Bernhard Nessler, Sepp Hochreiter",Johannes Kepler University Linz,https://arxiv.org/pdf/1706.08500,NeurIPS 2017,,visual_generative_models-inceptionscore_fid.ipynb,Calculate <b>Fréchet distance</b> between Gaussian distributions of InceptionNet feature maps of real-world data and synthetic data for <u>image generation</u> evaluation.,
Evaluation,2016/6/10,Inception Score,Improved Techniques for Training GANs,"Tim Salimans, Ian Goodfellow, Wojciech Zaremba, Vicki Cheung, Alec Radford, Xi Chen",OpenAI,https://arxiv.org/pdf/1606.03498,NeurIPS 2016,https://github.com/openai/improved-gan/,visual_generative_models-inceptionscore_fid.ipynb,Calculate <b>KL divergence between p(y|x) and p(y)</b> that aims to minimize the entropy across samples and maximize the entropy across classes for <u>image generation</u> evaluation.,